Year,Month,Day,Rank,Title,Principal,Collaborator,Peak_position,Weeks_in_chart,Hot,Weight,Gen_Principal,Gen_Collaborator,Principal_Sex,Collaborator_Sex
2013,4,20,1,Hips Don't Lie,Shakira,Wyclef Jean,1,1,1,0.008508,Spanish Pop,Spanish Pop,0,1.0
2013,4,20,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,2,1,1,0.005556,Spanish Pop,Spanish Pop,0,1.0
2013,4,20,3,Danza Kuduro,Don Omar,Lucenzo,3,1,1,0.002381,Reggaeton,Reggaeton,1,1.0
2013,4,20,4,Ai Se Eu Te Pego,Michel Telo,Michel Telo,4,1,1,0.002698,Spanish Pop,Spanish Pop,1,1.0
2013,4,20,5,Loca,Shakira,El Cata,5,1,1,0.024082,Spanish Pop,Spanish Pop,0,1.0
2013,4,20,6,Loba,Shakira,Shakira,6,1,0,0.003095,Spanish Pop,Spanish Pop,0,0.0
2013,4,20,7,Promise,Romeo Santos,Usher,7,1,1,0.004545,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,20,8,"Suerte [Whenever, Wherever]",Shakira,Shakira,8,1,0,0.003563,Spanish Pop,Spanish Pop,0,0.0
2013,4,20,9,En La Obscuridad,Belinda,Belinda,9,1,0,0.002381,Spanish Pop,Spanish Pop,0,0.0
2013,4,20,10,Llevame Contigo,Romeo Santos,Romeo Santos,10,1,1,0.022476,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,20,11,La Diabla,Romeo Santos,Romeo Santos,11,1,0,0.002696,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,20,12,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,12,1,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,4,20,12,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,12,1,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,4,20,13,El Coco No,Roberto Junior y Su Bandeno,Roberto Junior y Su Bandeno,13,1,1,0.005487,Regional Mexicana,Regional Mexicana,1,1.0
2013,4,20,14,Rabiosa,Shakira,El Cata,14,1,0,0.003945,Spanish Pop,Spanish Pop,0,1.0
2013,4,20,14,Rabiosa,Shakira,Pitbull,14,1,0,0.003945,Spanish Pop,Spanish Pop,0,1.0
2013,4,20,15,Incondicional,Prince Royce,Prince Royce,15,1,1,0.022807,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,20,16,Limbo,Daddy Yankee,Daddy Yankee,16,1,1,0.022476,Reggaeton,Reggaeton,1,1.0
2013,4,20,17,Stand By Me,Prince Royce,Prince Royce,17,1,1,0.002976,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,20,18,Mi Nina Traviesa,Rey Sanchez,Rey Sanchez,18,1,0,0.012153,Regional Mexicana,Regional Mexicana,1,1.0
2013,4,20,19,El Amor Que Perdimos,Prince Royce,Prince Royce,19,1,1,0.005487,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,20,20,Me Prefieres A Mi,Arcangel,Arcangel,20,1,1,0.002604,Reggaeton,Reggaeton,1,1.0
2013,4,20,21,"Bon, Bon",Pitbull,Pitbull,21,1,0,0.003061,English pop,English pop,1,1.0
2013,4,20,22,You,Romeo Santos,Romeo Santos,22,1,0,0.003651,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,20,23,Y Ahora Resulta,Voz de Mando,Voz de Mando,23,1,0,0.002222,Regional Mexicana,Regional Mexicana,1,1.0
2013,4,20,24,Amor Confuso,Gerardo Ortiz,Gerardo Ortiz,24,1,0,0.002698,Regional Mexicana,Regional Mexicana,1,1.0
2013,4,20,25,Damaso,Gerardo Ortiz,Gerardo Ortiz,25,1,1,0.002381,Regional Mexicana,Regional Mexicana,1,1.0
2013,4,27,1,Hips Don't Lie,Shakira,Wyclef Jean,1,2,1,0.002753,Spanish Pop,Spanish Pop,0,1.0
2013,4,27,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,2,2,1,0.002433,Spanish Pop,Spanish Pop,0,1.0
2013,4,27,3,Danza Kuduro,Don Omar,Lucenzo,3,2,1,0.002381,Reggaeton,Reggaeton,1,1.0
2013,4,27,4,Ai Se Eu Te Pego,Michel Telo,Michel Telo,4,2,1,0.002698,Spanish Pop,Spanish Pop,1,1.0
2013,4,27,5,Loca,Shakira,El Cata,5,2,1,0.024082,Spanish Pop,Spanish Pop,0,1.0
2013,4,27,6,Loba,Shakira,Shakira,6,2,0,0.003095,Spanish Pop,Spanish Pop,0,0.0
2013,4,27,7,Promise,Romeo Santos,Usher,7,2,1,0.004545,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,27,8,"Suerte [Whenever, Wherever]",Shakira,Shakira,8,2,0,0.002381,Spanish Pop,Spanish Pop,0,0.0
2013,4,27,9,Llevame Contigo,Romeo Santos,Romeo Santos,9,2,1,0.003095,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,27,10,El Coco No,Roberto Junior y Su Bandeno,Roberto Junior y Su Bandeno,10,2,1,0.005487,Regional Mexicana,Regional Mexicana,1,1.0
2013,4,27,11,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,11,2,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,4,27,11,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,11,2,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,4,27,12,La Diabla,Romeo Santos,Romeo Santos,11,2,0,0.002696,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,27,13,Como La Flor,Selena,Selena,13,1,0,0.002845,Cumbia/Bachata,Cumbia/Bachata,0,0.0
2013,4,27,14,Rabiosa,Shakira,El Cata,14,2,0,0.003945,Spanish Pop,Spanish Pop,0,1.0
2013,4,27,14,Rabiosa,Shakira,Pitbull,14,2,0,0.003945,Spanish Pop,Spanish Pop,0,1.0
2013,4,27,15,Ahora Tu,Malu,Malu,15,1,0,0.002698,Spanish Pop,Spanish Pop,0,0.0
2013,4,27,16,Limbo,Daddy Yankee,Daddy Yankee,16,2,1,0.002381,Reggaeton,Reggaeton,1,1.0
2013,4,27,17,Incondicional,Prince Royce,Prince Royce,15,2,1,0.022807,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,27,18,Me Prefieres A Mi,Arcangel,Arcangel,18,2,1,0.002604,Reggaeton,Reggaeton,1,1.0
2013,4,27,19,Stand By Me,Prince Royce,Prince Royce,17,2,1,0.009045,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,27,20,En La Obscuridad,Belinda,Belinda,9,2,0,0.002381,Spanish Pop,Spanish Pop,0,0.0
2013,4,27,21,El Amor Que Perdimos,Prince Royce,Prince Royce,19,2,1,0.005487,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,27,22,You,Romeo Santos,Romeo Santos,22,2,0,0.003329,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,27,23,Debate de 4,Romeo Santos,Raulin Rodriguez,23,1,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,27,23,Debate de 4,Romeo Santos,Luis Varges,23,1,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,27,23,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",23,1,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,4,27,24,"Bon, Bon",Pitbull,Pitbull,21,2,0,0.003061,English pop,English pop,1,1.0
2013,4,27,25,Amor Confuso,Gerardo Ortiz,Gerardo Ortiz,24,2,0,0.002698,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,4,1,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,3,1,0.004869,Spanish Pop,Spanish Pop,0,1.0
2013,5,4,2,Hips Don't Lie,Shakira,Wyclef Jean,1,3,1,0.002753,Spanish Pop,Spanish Pop,0,1.0
2013,5,4,3,Danza Kuduro,Don Omar,Lucenzo,3,3,1,0.003044,Reggaeton,Reggaeton,1,1.0
2013,5,4,4,Ai Se Eu Te Pego,Michel Telo,Michel Telo,4,3,1,0.002698,Spanish Pop,Spanish Pop,1,1.0
2013,5,4,5,Promise,Romeo Santos,Usher,5,3,1,0.010996,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,4,6,Loba,Shakira,Shakira,6,3,0,0.003095,Spanish Pop,Spanish Pop,0,0.0
2013,5,4,7,Llevame Contigo,Romeo Santos,Romeo Santos,7,3,1,0.022476,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,4,8,Loca,Shakira,El Cata,5,3,1,0.024082,Spanish Pop,Spanish Pop,0,1.0
2013,5,4,9,"Suerte [Whenever, Wherever]",Shakira,Shakira,8,3,0,0.002381,Spanish Pop,Spanish Pop,0,0.0
2013,5,4,10,El Amor Manda,Maria Jose,Maria Jose,10,1,0,0.005487,Spanish Pop,Spanish Pop,0,0.0
2013,5,4,11,Como La Flor,Selena,Selena,11,2,0,0.002845,Cumbia/Bachata,Cumbia/Bachata,0,0.0
2013,5,4,12,El Coco No,Roberto Junior y Su Bandeno,Roberto Junior y Su Bandeno,10,3,1,0.002381,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,4,13,La Diabla,Romeo Santos,Romeo Santos,11,3,0,0.002696,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,4,14,Limbo,Daddy Yankee,Daddy Yankee,14,3,1,0.022476,Reggaeton,Reggaeton,1,1.0
2013,5,4,15,Stand By Me,Prince Royce,Prince Royce,15,3,1,0.002976,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,4,16,Junto Al Amanecer,J Alvarez,J Alvarez,16,1,0,0.022807,Reggaeton,Reggaeton,1,1.0
2013,5,4,17,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,11,3,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,5,4,17,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,11,3,1,0.002698,Reggaeton,Reggaeton,1,1.0
2013,5,4,18,Incondicional,Prince Royce,Prince Royce,15,3,1,0.022807,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,4,19,Rabiosa,Shakira,El Cata,14,3,0,0.003945,Spanish Pop,Spanish Pop,0,1.0
2013,5,4,19,Rabiosa,Shakira,Pitbull,14,3,0,0.003945,Spanish Pop,Spanish Pop,0,1.0
2013,5,4,20,Damaso,Gerardo Ortiz,Gerardo Ortiz,20,2,1,0.002381,Regional Mexicana,Regional Mexicana,1,1.0
2013,5,4,21,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",21,2,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,4,21,Debate de 4,Romeo Santos,Luis Varges,21,2,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,4,21,Debate de 4,Romeo Santos,Raulin Rodriguez,21,2,1,0.045813,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,4,22,More,Zion,Ken-Y,22,1,0,0.003889,Reggaeton,Reggaeton,1,1.0
2013,5,4,22,More,Zion,Jory,22,1,0,0.003889,Reggaeton,Reggaeton,1,1.0
2013,5,4,23,El Amor Que Perdimos,Prince Royce,Prince Royce,19,3,1,0.005487,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,4,24,Corazon Sin Cara,Prince Royce,Prince Royce,24,1,1,0.002794,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,4,25,You,Romeo Santos,Romeo Santos,22,3,0,0.002489,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,11,1,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,4,1,0.005556,Spanish Pop,Spanish Pop,0,1.0
2013,5,11,2,Hips Don't Lie,Shakira,Wyclef Jean,1,4,1,0.008508,Spanish Pop,Spanish Pop,0,1.0
2013,5,11,3,Danza Kuduro,Don Omar,Lucenzo,3,4,1,0.002381,Reggaeton,Reggaeton,1,1.0
2013,5,11,4,Ai Se Eu Te Pego,Michel Telo,Michel Telo,4,4,1,0.002698,Spanish Pop,Spanish Pop,1,1.0
2013,5,11,5,Loba,Shakira,Shakira,5,4,0,0.003095,Spanish Pop,Spanish Pop,0,0.0
2013,5,11,6,Promise,Romeo Santos,Usher,5,4,1,0.002381,Cumbia/Bachata,Cumbia/Bachata,1,1.0
2013,5,11,7,Loca,Shakira,El Cata,5,4,1,0.003095,Spanish Pop,Spanish Pop,0,1.0
2013,5,11,8,"Suerte [Whenever, Wherever]",Shakira,Shakira,8,4,0,0.002381,Spanish Pop,Spanish Pop,0,0.0
2013,5,11,9,En La Obscuridad,Belinda,Belinda,9,3,0,0.002381,Spanish Pop,Spanish Pop,0,0.0
