Colaborador,Sexo
Wyclef Jean,1
Freshlyground,1
Lucenzo,1
,
El Cata,1
Usher,1
T-Pain,1
Chris Brown,1
Pitbull,1
Raulin Rodriguez,1
Luis Varges,
"Anthony ""El Mayimbe"" Santos",1
Ken-Y,1
Jory,1
J. Alvarez,1
Natalia Jimenez,0
Christina Aguilera,0
Romeo Santos,1
Thalia,0
Marco Antonio Solis,1
Drake,1
Ricky Martin,1
Jennifer Lopez,0
Farruko,1
Carlos Santana,1
Gente de Zona,1
Marc Anthony,1
Descemer Bueno,1
EP,
III,
Don Miguelo,1
Tomatito,1
Enrique Iglesias,1
Los Bukis,1
Sensato,1
Lil Jon,1
Osmani Garcia,1
Will Smith,1
Wisin,1
Nacho,1
Daddy Yankee,1
Yandel,1
Mohombi,1
Akon,1
Shakira,0
Ky-Mani Marley,1
Juanes,1
J Balvin,1
Pharrell Williams,1
Sky,1
BIA,0
Yotuel,1
Maluma,1
Juhn,1
Bryant Myers,1
Noriel,1
Don Omar,1
Fifth Harmony,0
DJ Luian,1
Arcangel,1
Bad Bunny,1
Justin Bieber,1
Zion-Lennox,1
Sean Paul,1
Camila Cabello,0
Anuel,1
Cardi B,0
Offset,1
Ozuna,1
Beyonce,0
Willy William,1
Rvssian,1
21 Savage,1
Nicki Minaj,0
Nicky Jam,1
Jowell-Randy,1
Artists For Puerto Rico,
Prince Royce,1
"Mambo Kingz,",1
Demi Lovato,0
Nego do Borel,1
Anitta,0
Jeon,1
Brytiago,1
El Chombo,1
Karol G,0
Cutty Ranks,1
Natti Natasha,0
Darell,1
Nio Garcia,1
Anuel AA,1
Ozuna ,1
Daddy Yankee ,1
Darell ,1
Manuel Turizo,1
Arthur Hanlon,1
Wisin-Yandel,1
Selena Gomez,0
Gerardo Ortiz,1
Rauw Alejandro,1
Becky G,0
Mambo Kingz,1
Lunay,1
Lyanno,1
Haze,1
Natalia LaFourcade,0
El Alfa,1
Diplo,1
Snow,1
El Guincho,1
Tainy,1
Tyga,1
Jonas Brothers,1
Marciano Cantero,1
Sech,1
Nengo Flow,1
Yaviah,1
Mora,1
Kendo Kaponi,1
Myke Towers,1
Pablo Chil-e,1
Duki,1
Juice WRLD,1
Snoop Dogg,1
Travis Scott,1
Tego Calderon,1
J.Rey Soul,1
Brray,1
Juanka,1
Rosalia,0
Justin Quiles,1
Camilo,1
Dua Lipa,0
The Weeknd,1
Jay Wheeler,1
Doja Cat,0
Sia,0
Cosculluela,1
Los Dos Carnales,1
Jhay Cortez,1
Angela Aguilar,0
ABRA,0
