Principal,Sexo
Shakira,0
Don Omar,1
Michel Telo,1
Romeo Santos,1
Belinda,0
Wisin-Yandel,1
Roberto Junior y Su Bandeno,1
Prince Royce,1
Daddy Yankee,1
Rey Sanchez,1
Arcangel,1
Pitbull,1
Voz de Mando,1
Gerardo Ortiz,1
Selena,0
Malu,0
Maria Jose,0
J Alvarez,1
Zion,1
Marc Anthony,1
Denise de Kalafe,0
Pesado,1
Aventura,1
Loona,0
Luis Coronel,1
Reik,1
La Arrolladora Banda el Limon de Rene Camacho,1
Banda Sinaloense MS de Sergio Lizarraga,1
Alejandro Fernandez ,1
Xtreme,1
Santana,1
Vicente Fernandez,1
Enrique Iglesias,1
Los Primos MX,1
Tacabro,1
Banda Los Recoditos,1
Banda El Recodo de Cruz Lizarraga,1
Jose Feliciano,1
Coral Voces Blancas,1
Michael Buble,1
Dora The Explorer,0
Tony Camargo,1
Raulin Rodriguez,1
Chiquis,0
Wisin,1
Julion Alvarez y Su Norteno Banda,1
J Balvin,1
Descemer Bueno,1
Ricky Martin,1
Becky G,0
Tito Torbellino,1
Banda Tierra Sagrada,1
El Komander,1
Sandra Echeverria,0
Nicky Jam,1
Carmen Sarahi,0
Ariel Camacho y Los Plebes del Rancho,1
Plan B,1
Marco Antonio Solis,1
Gente de Zona,1
Joan Sebastian,1
Pulcino Pio,0
Kings Of Regueton,1
Bomba Estereo,1
La Adictiva Banda San Jose de Mesillas,1
Maluma,1
Los Bukis,1
Los Plebes del Rancho de Ariel Camacho,1
Yandel,1
Chino,1
Farruko,1
Joey Montana,1
Carlos Vives,1
Juan Gabriel,1
Zion-Lennox,1
Ozuna,1
Mambo Kingz,1
Calibre 50,1
CNCO,1
Luis Fonsi,1
Ulices Chaidez y Sus Plebes,1
Christian Nodal,1
Chris Jeday,1
Danny Ocean,1
Karol G,0
Bad Bunny,1
Alex Sensation,1
Nacho,1
Natti Natasha,0
Malu Trevejo,0
Lin-Manuel Miranda,1
DJ Luian,1
Jennifer Lopez,0
Banda La Misma Tierra,1
Anitta,0
Almighty,1
DJ Kass,1
Raymix,1
Casper Magico,1
Cosculluela,1
Tory Lanez,1
Brytiago ,1
Wolfine,1
Anuel AA,1
Los Tucanes de Tijuana,1
Thalia,0
Lele Pons,0
6ix9ine,1
DJ Snake,1
T3r Elemento,1
Alex Rose,1
JLo,0
Fuerza Regida,1
Los Angeles Azules,1
Pedro Capo,1
Banda Los Sebastianes de Mazatlan Sinaloa,1
Myke Towers,1
Rosalia,0
Sean Paul,1
Sech,1
Lunay,1
Jhay Cortez,1
Sebastian Yatra,1
Tainy,1
Major Lazer,1
Black Eyed Peas,1
Natanael Cano,1
Rauw Alejandro,1
Bryant Myers,1
Frank Ocean,1
Eslabon Armado,1
Rvssian,1
Lil Pump,1
Banda MS de Sergio Lizarraga,1
Nio Garcia,1
Feid,1
DJ Nelson,1
Los Dos Carnales,1
Porte Diferente,1
El Fantasma,1
Jerry Di,1
Manuel Turizo,1
Trio Vegabajeno,1
