Year,Month,Day,Rank,Title,Principal,Collaborator,Peak_position,Weeks_in_chart
2013,04,20,1,Hips Don't Lie,Shakira,Wyclef Jean,1,1
2013,04,20,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,2,1
2013,04,20,3,Danza Kuduro,Don Omar,Lucenzo,3,1
2013,04,20,4,Ai Se Eu Te Pego,Michel Telo,,4,1
2013,04,20,5,Loca,Shakira,El Cata,5,1
2013,04,20,6,Loba,Shakira,,6,1
2013,04,20,7,Promise,Romeo Santos,Usher,7,1
2013,04,20,8,"Suerte [Whenever, Wherever]",Shakira,,8,1
2013,04,20,9,En La Obscuridad,Belinda,,9,1
2013,04,20,10,Llevame Contigo,Romeo Santos,,10,1
2013,04,20,11,La Diabla,Romeo Santos,,11,1
2013,04,20,12,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,12,1
2013,04,20,12,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,12,1
2013,04,20,13,El Coco No,Roberto Junior y Su Bandeno,,13,1
2013,04,20,14,Rabiosa,Shakira,Pitbull,14,1
2013,04,20,14,Rabiosa,Shakira,El Cata,14,1
2013,04,20,15,Incondicional,Prince Royce,,15,1
2013,04,20,16,Limbo,Daddy Yankee,,16,1
2013,04,20,17,Stand By Me,Prince Royce,,17,1
2013,04,20,18,Mi Nina Traviesa,Rey Sanchez,,18,1
2013,04,20,19,El Amor Que Perdimos,Prince Royce,,19,1
2013,04,20,20,Me Prefieres A Mi,Arcangel,,20,1
2013,04,20,21,"Bon, Bon",Pitbull,,21,1
2013,04,20,22,You,Romeo Santos,,22,1
2013,04,20,23,Y Ahora Resulta,Voz de Mando,,23,1
2013,04,20,24,Amor Confuso,Gerardo Ortiz,,24,1
2013,04,20,25,Damaso,Gerardo Ortiz,,25,1
2013,04,27,1,Hips Don't Lie,Shakira,Wyclef Jean,1,2
2013,04,27,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,2,2
2013,04,27,3,Danza Kuduro,Don Omar,Lucenzo,3,2
2013,04,27,4,Ai Se Eu Te Pego,Michel Telo,,4,2
2013,04,27,5,Loca,Shakira,El Cata,5,2
2013,04,27,6,Loba,Shakira,,6,2
2013,04,27,7,Promise,Romeo Santos,Usher,7,2
2013,04,27,8,"Suerte [Whenever, Wherever]",Shakira,,8,2
2013,04,27,9,Llevame Contigo,Romeo Santos,,9,2
2013,04,27,10,El Coco No,Roberto Junior y Su Bandeno,,10,2
2013,04,27,11,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,11,2
2013,04,27,11,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,11,2
2013,04,27,12,La Diabla,Romeo Santos,,11,2
2013,04,27,13,Como La Flor,Selena,,13,1
2013,04,27,14,Rabiosa,Shakira,Pitbull,14,2
2013,04,27,14,Rabiosa,Shakira,El Cata,14,2
2013,04,27,15,Ahora Tu,Malu,,15,1
2013,04,27,16,Limbo,Daddy Yankee,,16,2
2013,04,27,17,Incondicional,Prince Royce,,15,2
2013,04,27,18,Me Prefieres A Mi,Arcangel,,18,2
2013,04,27,19,Stand By Me,Prince Royce,,17,2
2013,04,27,20,En La Obscuridad,Belinda,,9,2
2013,04,27,21,El Amor Que Perdimos,Prince Royce,,19,2
2013,04,27,22,You,Romeo Santos,,22,2
2013,04,27,23,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",23,1
2013,04,27,23,Debate de 4,Romeo Santos,Luis Varges,23,1
2013,04,27,23,Debate de 4,Romeo Santos,Raulin Rodriguez,23,1
2013,04,27,24,"Bon, Bon",Pitbull,,21,2
2013,04,27,25,Amor Confuso,Gerardo Ortiz,,24,2
2013,05,04,1,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,3
2013,05,04,2,Hips Don't Lie,Shakira,Wyclef Jean,1,3
2013,05,04,3,Danza Kuduro,Don Omar,Lucenzo,3,3
2013,05,04,4,Ai Se Eu Te Pego,Michel Telo,,4,3
2013,05,04,5,Promise,Romeo Santos,Usher,5,3
2013,05,04,6,Loba,Shakira,,6,3
2013,05,04,7,Llevame Contigo,Romeo Santos,,7,3
2013,05,04,8,Loca,Shakira,El Cata,5,3
2013,05,04,9,"Suerte [Whenever, Wherever]",Shakira,,8,3
2013,05,04,10,El Amor Manda,Maria Jose,,10,1
2013,05,04,11,Como La Flor,Selena,,11,2
2013,05,04,12,El Coco No,Roberto Junior y Su Bandeno,,10,3
2013,05,04,13,La Diabla,Romeo Santos,,11,3
2013,05,04,14,Limbo,Daddy Yankee,,14,3
2013,05,04,15,Stand By Me,Prince Royce,,15,3
2013,05,04,16,Junto Al Amanecer,J Alvarez,,16,1
2013,05,04,17,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,11,3
2013,05,04,17,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,11,3
2013,05,04,18,Incondicional,Prince Royce,,15,3
2013,05,04,19,Rabiosa,Shakira,Pitbull,14,3
2013,05,04,19,Rabiosa,Shakira,El Cata,14,3
2013,05,04,20,Damaso,Gerardo Ortiz,,20,2
2013,05,04,21,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",21,2
2013,05,04,21,Debate de 4,Romeo Santos,Luis Varges,21,2
2013,05,04,21,Debate de 4,Romeo Santos,Raulin Rodriguez,21,2
2013,05,04,22,More,Zion,Jory,22,1
2013,05,04,22,More,Zion,Ken-Y,22,1
2013,05,04,23,El Amor Que Perdimos,Prince Royce,,19,3
2013,05,04,24,Corazon Sin Cara,Prince Royce,,24,1
2013,05,04,25,You,Romeo Santos,,22,3
2013,05,11,1,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,4
2013,05,11,2,Hips Don't Lie,Shakira,Wyclef Jean,1,4
2013,05,11,3,Danza Kuduro,Don Omar,Lucenzo,3,4
2013,05,11,4,Ai Se Eu Te Pego,Michel Telo,,4,4
2013,05,11,5,Loba,Shakira,,5,4
2013,05,11,6,Promise,Romeo Santos,Usher,5,4
2013,05,11,7,Loca,Shakira,El Cata,5,4
2013,05,11,8,"Suerte [Whenever, Wherever]",Shakira,,8,4
2013,05,11,9,En La Obscuridad,Belinda,,9,3
2013,05,11,10,El Coco No,Roberto Junior y Su Bandeno,,10,4
2013,05,11,11,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,11,4
2013,05,11,11,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,11,4
2013,05,11,12,Damaso,Gerardo Ortiz,,12,3
2013,05,11,13,Limbo,Daddy Yankee,,13,4
2013,05,11,14,Stand By Me,Prince Royce,,14,4
2013,05,11,15,El Amor Manda,Maria Jose,,10,2
2013,05,11,16,Incondicional,Prince Royce,,15,4
2013,05,11,17,Rabiosa,Shakira,Pitbull,14,4
2013,05,11,17,Rabiosa,Shakira,El Cata,14,4
2013,05,11,18,Junto Al Amanecer,J Alvarez,,16,2
2013,05,11,19,Como La Flor,Selena,,11,3
2013,05,11,20,El Amor Que Perdimos,Prince Royce,,19,4
2013,05,11,21,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",21,3
2013,05,11,21,Debate de 4,Romeo Santos,Luis Varges,21,3
2013,05,11,21,Debate de 4,Romeo Santos,Raulin Rodriguez,21,3
2013,05,11,22,Me Prefieres A Mi,Arcangel,,18,3
2013,05,11,23,Amor Confuso,Gerardo Ortiz,,23,3
2013,05,11,24,Llevame Contigo,Romeo Santos,,7,4
2013,05,11,25,Corazon Sin Cara,Prince Royce,,24,2
2013,05,18,1,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,5
2013,05,18,2,Danza Kuduro,Don Omar,Lucenzo,2,5
2013,05,18,3,Hips Don't Lie,Shakira,Wyclef Jean,1,5
2013,05,18,4,Ai Se Eu Te Pego,Michel Telo,,4,5
2013,05,18,5,Loba,Shakira,,5,5
2013,05,18,6,Loca,Shakira,El Cata,5,5
2013,05,18,7,Damaso,Gerardo Ortiz,,7,4
2013,05,18,8,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,8,5
2013,05,18,8,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,8,5
2013,05,18,9,El Coco No,Roberto Junior y Su Bandeno,,9,5
2013,05,18,10,"Suerte [Whenever, Wherever]",Shakira,,8,5
2013,05,18,11,Vivir Mi Vida,Marc Anthony,,11,1
2013,05,18,12,Limbo,Daddy Yankee,,12,5
2013,05,18,13,Stand By Me,Prince Royce,,13,5
2013,05,18,14,Rabiosa,Shakira,Pitbull,14,5
2013,05,18,14,Rabiosa,Shakira,El Cata,14,5
2013,05,18,15,Promise,Romeo Santos,Usher,5,5
2013,05,18,16,Incondicional,Prince Royce,,15,5
2013,05,18,17,Aquiles Afirmo,Gerardo Ortiz,,17,1
2013,05,18,18,Junto Al Amanecer,J Alvarez,,16,3
2013,05,18,19,El Amor Que Perdimos,Prince Royce,,19,5
2013,05,18,20,Me Prefieres A Mi,Arcangel,,18,4
2013,05,18,21,Como La Flor,Selena,,11,4
2013,05,18,22,More,Zion,Jory,22,2
2013,05,18,22,More,Zion,Ken-Y,22,2
2013,05,18,23,Amor Confuso,Gerardo Ortiz,,23,4
2013,05,18,24,Corazon Sin Cara,Prince Royce,,24,3
2013,05,18,25,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",21,4
2013,05,18,25,Debate de 4,Romeo Santos,Luis Varges,21,4
2013,05,18,25,Debate de 4,Romeo Santos,Raulin Rodriguez,21,4
2013,05,25,1,Danza Kuduro,Don Omar,Lucenzo,1,6
2013,05,25,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,6
2013,05,25,3,Hips Don't Lie,Shakira,Wyclef Jean,1,6
2013,05,25,4,"Senora, Senora, Senora",Denise de Kalafe,,4,1
2013,05,25,5,Ai Se Eu Te Pego,Michel Telo,,4,6
2013,05,25,6,Loba,Shakira,,5,6
2013,05,25,7,Loca,Shakira,El Cata,5,6
2013,05,25,8,El Coco No,Roberto Junior y Su Bandeno,,8,6
2013,05,25,9,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,8,6
2013,05,25,9,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,8,6
2013,05,25,10,"Suerte [Whenever, Wherever]",Shakira,,8,6
2013,05,25,11,Damaso,Gerardo Ortiz,,7,5
2013,05,25,12,Limbo,Daddy Yankee,,12,6
2013,05,25,13,Incondicional,Prince Royce,,13,6
2013,05,25,14,Mi Primer Amor,Pesado,,14,1
2013,05,25,15,Rabiosa,Shakira,Pitbull,14,6
2013,05,25,15,Rabiosa,Shakira,El Cata,14,6
2013,05,25,16,Stand By Me,Prince Royce,,13,6
2013,05,25,17,Junto Al Amanecer,J Alvarez,,16,4
2013,05,25,18,Vivir Mi Vida,Marc Anthony,,11,2
2013,05,25,19,El Amor Que Perdimos,Prince Royce,,19,6
2013,05,25,20,Promise,Romeo Santos,Usher,5,6
2013,05,25,21,More,Zion,Jory,21,3
2013,05,25,21,More,Zion,Ken-Y,21,3
2013,05,25,22,Gasolina,Daddy Yankee,,22,1
2013,05,25,23,Como La Flor,Selena,,11,5
2013,05,25,24,Me Prefieres A Mi,Arcangel,,18,5
2013,05,25,25,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",21,5
2013,05,25,25,Debate de 4,Romeo Santos,Luis Varges,21,5
2013,05,25,25,Debate de 4,Romeo Santos,Raulin Rodriguez,21,5
2013,06,01,1,Danza Kuduro,Don Omar,Lucenzo,1,7
2013,06,01,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,7
2013,06,01,3,Hips Don't Lie,Shakira,Wyclef Jean,1,7
2013,06,01,4,Ai Se Eu Te Pego,Michel Telo,,4,7
2013,06,01,5,Loba,Shakira,,5,7
2013,06,01,6,El Coco No,Roberto Junior y Su Bandeno,,6,7
2013,06,01,7,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,7,7
2013,06,01,7,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,7,7
2013,06,01,8,Damaso,Gerardo Ortiz,,7,6
2013,06,01,9,"Suerte [Whenever, Wherever]",Shakira,,8,7
2013,06,01,10,Loca,Shakira,El Cata,5,7
2013,06,01,11,Vivir Mi Vida,Marc Anthony,,11,3
2013,06,01,12,Incondicional,Prince Royce,,12,7
2013,06,01,13,Limbo,Daddy Yankee,,12,7
2013,06,01,14,Junto Al Amanecer,J Alvarez,,14,5
2013,06,01,15,El Amor Que Perdimos,Prince Royce,,15,7
2013,06,01,16,More,Zion,Jory,16,4
2013,06,01,16,More,Zion,Ken-Y,16,4
2013,06,01,17,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",17,6
2013,06,01,17,Debate de 4,Romeo Santos,Luis Varges,17,6
2013,06,01,17,Debate de 4,Romeo Santos,Raulin Rodriguez,17,6
2013,06,01,18,Stand By Me,Prince Royce,,13,7
2013,06,01,19,Rabiosa,Shakira,Pitbull,14,7
2013,06,01,19,Rabiosa,Shakira,El Cata,14,7
2013,06,01,20,Promise,Romeo Santos,Usher,5,7
2013,06,01,21,Me Prefieres A Mi,Arcangel,,18,6
2013,06,01,22,Gasolina,Daddy Yankee,,22,2
2013,06,01,23,"Bon, Bon",Pitbull,,21,3
2013,06,01,24,La Pregunta,J Alvarez,,24,1
2013,06,01,25,Como La Flor,Selena,,11,6
2013,06,08,1,Danza Kuduro,Don Omar,Lucenzo,1,8
2013,06,08,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,8
2013,06,08,3,Hips Don't Lie,Shakira,Wyclef Jean,1,8
2013,06,08,4,Ai Se Eu Te Pego,Michel Telo,,4,8
2013,06,08,5,El Coco No,Roberto Junior y Su Bandeno,,5,8
2013,06,08,6,Loba,Shakira,,5,8
2013,06,08,7,Vivir Mi Vida,Marc Anthony,,7,4
2013,06,08,8,Damaso,Gerardo Ortiz,,7,7
2013,06,08,9,"Suerte [Whenever, Wherever]",Shakira,,8,8
2013,06,08,10,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,7,8
2013,06,08,10,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,7,8
2013,06,08,11,Incondicional,Prince Royce,,11,8
2013,06,08,12,Loca,Shakira,El Cata,5,8
2013,06,08,13,Junto Al Amanecer,J Alvarez,,13,6
2013,06,08,14,Limbo,Daddy Yankee,,12,8
2013,06,08,15,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",15,7
2013,06,08,15,Debate de 4,Romeo Santos,Luis Varges,15,7
2013,06,08,15,Debate de 4,Romeo Santos,Raulin Rodriguez,15,7
2013,06,08,16,More,Zion,Jory,16,5
2013,06,08,16,More,Zion,Ken-Y,16,5
2013,06,08,17,El Amor Que Perdimos,Prince Royce,,15,8
2013,06,08,18,Stand By Me,Prince Royce,,13,8
2013,06,08,19,Rabiosa,Shakira,Pitbull,14,8
2013,06,08,19,Rabiosa,Shakira,El Cata,14,8
2013,06,08,20,Promise,Romeo Santos,Usher,5,8
2013,06,08,21,Me Prefieres A Mi,Arcangel,,18,7
2013,06,08,22,Gasolina,Daddy Yankee,,22,3
2013,06,08,23,La Pregunta,J Alvarez,,23,2
2013,06,08,24,"Bon, Bon",Pitbull,,21,4
2013,06,08,25,Como La Flor,Selena,,11,7
2013,06,15,1,Danza Kuduro,Don Omar,Lucenzo,1,9
2013,06,15,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,9
2013,06,15,3,Hips Don't Lie,Shakira,Wyclef Jean,1,9
2013,06,15,4,Ai Se Eu Te Pego,Michel Telo,,4,9
2013,06,15,5,El Coco No,Roberto Junior y Su Bandeno,,5,9
2013,06,15,6,Loba,Shakira,,5,9
2013,06,15,7,Damaso,Gerardo Ortiz,,7,8
2013,06,15,8,Vivir Mi Vida,Marc Anthony,,7,5
2013,06,15,9,Incondicional,Prince Royce,,9,9
2013,06,15,10,"Suerte [Whenever, Wherever]",Shakira,,8,9
2013,06,15,11,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,7,9
2013,06,15,11,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,7,9
2013,06,15,12,Junto Al Amanecer,J Alvarez,,12,7
2013,06,15,13,Loca,Shakira,El Cata,5,9
2013,06,15,14,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",14,8
2013,06,15,14,Debate de 4,Romeo Santos,Luis Varges,14,8
2013,06,15,14,Debate de 4,Romeo Santos,Raulin Rodriguez,14,8
2013,06,15,15,El Amor Que Perdimos,Prince Royce,,15,9
